run_id,experiment_id,status,metrics.test_loss,metrics.train_loss,params.hydrocarbons,params.subgraph_depth,params.collective,params.funnel,params.dataset,params.cycle_size,params.paths,params.relaxations,params.oxy,params.nitro,params.y_shape,params.parameter_size,params.model,params.cycles,params.max_depth,params.num_layers,params.learning_rate,params.sulfuric,params.architecture,params.circular,params.nbhoods,params.chem_rules,params.subgraphs
2ee80c7d6af04d77a3d9c39694378d36,2185254781789756,FINISHED,0.4098360655737705,0.19414380610809878,False,1,True,False,skin_reaction,3,True,False,True,False,False,4,gnn,True,1,2,0.0061713600374906545,False,CCD,False,False,,
6c5a49f042f841d890c8d0d2aa4e6985,2185254781789756,FINISHED,0.3114754098360656,0.15002920700110692,True,1,False,False,skin_reaction,7,True,False,True,False,False,4,gnn,True,1,1,0.0019184145858841537,False,CCD,True,False,,
7032f0f76ba643afb7f4e6c733075e32,2185254781789756,FINISHED,0.30327868852459017,0.16993130146803256,True,6,True,False,skin_reaction,4,True,False,False,False,True,3,gnn,False,1,4,0.002589053000354084,True,CCE,True,True,,
b0bd823fa2a740c385599bc47c8c2d25,2185254781789756,FINISHED,0.3524590163934426,0.1306523564014116,False,1,True,False,skin_reaction,7,False,False,False,False,False,4,gnn,True,1,3,0.0011089528484498005,True,CCE,True,True,,
884514ba8f5045b8b253dd1bb0e166b1,2185254781789756,FINISHED,0.36885245901639346,0.18181164790401672,True,4,True,False,skin_reaction,6,True,False,False,False,False,3,gnn,True,1,1,0.014072908497394579,True,CCD,False,True,,
d0f21cb094b94456bfe500d71527d4b1,2185254781789756,FINISHED,0.2604166666666667,0.17363967400891214,True,2,True,False,oral_bioavailability,4,True,False,False,False,False,2,gnn,False,1,3,0.032320409199042006,True,CCE,True,False,,
4d456174e63d491890f0e22dd0f091ac,2185254781789756,FINISHED,0.319672131147541,0.19964042222306208,True,1,False,False,skin_reaction,5,True,False,False,False,True,2,gnn,False,1,3,0.0013131633842345762,True,CCE,True,True,,
d8127e4ca4f6425dbd6a3f72ea875a7f,2185254781789756,FINISHED,0.10344827586206896,0.06035793015161432,False,5,True,False,human_intestinal_absorption,9,True,False,False,True,True,4,gnn,True,1,2,0.0008350173420537355,True,CCE,True,False,,
7f5c9a15c0db42718e2580ce8f0adf7b,2185254781789756,FINISHED,0.32786885245901637,0.18067459645511338,True,6,False,False,skin_reaction,9,True,False,True,False,False,3,gnn,True,1,2,0.00022282802003230432,False,CCD,True,True,,
daf58ae3307b463c91539db6c2e4e67d,2185254781789756,FINISHED,0.3524590163934426,0.1514059147402159,True,1,True,False,skin_reaction,9,True,False,False,False,True,4,gnn,False,1,4,0.0021853163828094054,True,CCE,True,True,,
